altitude_km,longueur_onde_um,nombre_onde_cm_1,pression_Pa,epaisseur_couche_m,temperature_K,CO2_ppm,H2O_ppm,CH4_ppm,O3_ppm,sigma_CO2_m2_molecule,sigma_H2O_m2_molecule,sigma_CH4_m2_molecule,sigma_O3_m2_molecule,tau_CO2,tau_H2O,tau_CH4,tau_O3,emissivite
0,4.0,2500.00000000,1.013250e+05,1000.0,288.15,4.250000000000e+02,1.294090000000e+04,1.900000000000e+00,1.000000000000e-01,8.207869856730e-33,4.328857794086e-32,1.157762662249e-27,4.191825175128e-29,8.884522622929e-08,1.426765194231e-05,5.602577157585e-05,1.067622867547e-07,7.048654673780e-05
0,4.1,2439.02439024,1.013250e+05,1000.0,288.15,4.250000000000e+02,1.294090000000e+04,1.900000000000e+00,1.000000000000e-01,2.579402790601e-28,3.122414734891e-31,2.242255678697e-28,1.298257660480e-28,2.792047491829e-03,1.029128901343e-04,1.085059214341e-05,3.306553848000e-07,2.901922887649e-03
0,4.2,2380.95238095,1.013250e+05,1000.0,288.15,4.250000000000e+02,1.294090000000e+04,1.900000000000e+00,1.000000000000e-01,5.373053854579e-24,2.442713135807e-31,1.118905066062e-29,3.786829724586e-28,5.816005779634e+01,8.051033892640e-05,5.414539757611e-07,9.644739082780e-07,1.000000000000e+00
0,4.3,2325.58139535,1.013250e+05,1000.0,288.15,4.250000000000e+02,1.294090000000e+04,1.900000000000e+00,1.000000000000e-01,2.069078704554e-23,1.640693709783e-30,1.672985831758e-29,1.809513381843e-27,2.239652538369e+02,5.407626655491e-04,8.095814895052e-07,4.608679477020e-06,1.000000000000e+00
0,4.4,2272.72727273,1.013250e+05,1000.0,288.15,4.250000000000e+02,1.294090000000e+04,1.900000000000e+00,1.000000000000e-01,2.266460942864e-26,1.015630787501e-28,4.738621094517e-30,2.018275918555e-27,2.453306871619e-01,3.347457289487e-02,2.293085721993e-07,5.140380224951e-06,2.433168170649e-01
0,4.5,2222.22222222,1.013250e+05,1000.0,288.15,4.250000000000e+02,1.294090000000e+04,1.900000000000e+00,1.000000000000e-01,1.472760836490e-29,5.913421205559e-29,1.327824876118e-30,3.578218738215e-26,1.594174517672e-04,1.949027654927e-02,6.425532246622e-08,9.113424320912e-05,1.954731695859e-02
0,4.6,2173.91304348,1.013250e+05,1000.0,288.15,4.250000000000e+02,1.294090000000e+04,1.900000000000e+00,1.000000000000e-01,1.869868579027e-29,1.223225783112e-29,3.943825619362e-31,5.663467803020e-26,2.024019627778e-04,4.031677765933e-03,1.908472958147e-08,1.442437955665e-04,4.368771640427e-03
0,4.7,2127.65957447,1.013250e+05,1000.0,288.15,4.250000000000e+02,1.294090000000e+04,1.900000000000e+00,1.000000000000e-01,2.783357636523e-28,2.239229257304e-29,2.443952085165e-30,3.212812614999e-24,3.012816275239e-03,7.380363408082e-03,1.182662956152e-07,8.182765438949e-03,1.840459172081e-02
0,4.8,2083.33333333,1.013250e+05,1000.0,288.15,4.250000000000e+02,1.294090000000e+04,1.900000000000e+00,1.000000000000e-01,2.825693449425e-27,5.068271128329e-29,0.000000000000e+00,1.377317269944e-24,3.058642231796e-02,1.670471330961e-02,0.000000000000e+00,3.507912071296e-03,4.953034959373e-02
0,4.9,2040.81632653,1.013250e+05,1000.0,288.15,4.250000000000e+02,1.294090000000e+04,1.900000000000e+00,1.000000000000e-01,3.368800774777e-28,1.344757095439e-26,0.000000000000e+00,1.134246652214e-25,3.646523058733e-03,4.432237577979e+00,0.000000000000e+00,2.888831505968e-04,9.881588317448e-01
0,5.0,2000.00000000,1.013250e+05,1000.0,288.15,4.250000000000e+02,1.294090000000e+04,1.900000000000e+00,1.000000000000e-01,2.997022796264e-30,3.190468655881e-27,0.000000000000e+00,1.097318386714e-26,3.244095885976e-05,1.051559059694e+00,0.000000000000e+00,2.794778297497e-05,6.506284984011e-01
0,5.1,1960.78431373,1.013250e+05,1000.0,288.15,4.250000000000e+02,1.294090000000e+04,1.900000000000e+00,1.000000000000e-01,5.670759455522e-29,1.303921032394e-26,2.009257705361e-31,3.320985563261e-27,6.138254084337e-04,4.297644398452e+00,9.723082019153e-09,8.458272905004e-06,9.864079020998e-01
0,5.2,1923.07692308,1.013250e+05,1000.0,288.15,4.250000000000e+02,1.294090000000e+04,1.900000000000e+00,1.000000000000e-01,2.838704560877e-27,2.198646512722e-24,1.482680508358e-29,2.352323525438e-27,3.072725972896e-02,7.246605150799e+02,7.174900537896e-07,5.991171584462e-06,1.000000000000e+00
0,5.3,1886.79245283,1.013250e+05,1000.0,288.15,4.250000000000e+02,1.294090000000e+04,1.900000000000e+00,1.000000000000e-01,2.940339772620e-29,1.034360963320e-26,1.552707897370e-28,2.940862400409e-27,3.182739941658e-04,3.409190809530e+00,7.513772970803e-06,7.490130952059e-06,9.669430711591e-01
0,5.4,1851.85185185,1.013250e+05,1000.0,288.15,4.250000000000e+02,1.294090000000e+04,1.900000000000e+00,1.000000000000e-01,3.269967571063e-30,3.645649933585e-27,3.856317472319e-27,1.293408436914e-26,3.539542094169e-05,1.201584039720e+00,1.866126528977e-04,3.294203280521e-05,6.993591721894e-01
