altitude_km,longueur_onde_um,pression_Pa,temperature_C,temperature_K,epaisseur_couche_m,CO2_ppm,H2O_ppm,CH4_ppm,O3_ppm,sigma_CO2_m2_molecule,sigma_H2O_m2_molecule,sigma_CH4_m2_molecule,sigma_O3_m2_molecule,tau_CO2,tau_H2O,tau_CH4,tau_O3,tau_total,emissivite
0,0.0,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,2.999576837330e-50,2.508392387320e-29,4.348028203966e-42,5.692099788303e-32,3.246860480935e-25,8.267508710014e-03,2.104072301724e-19,1.449730283221e-10,8.267508854987e-03,8.233426992362e-03
0,0.1,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,4.619127938759e-50,3.188321741814e-29,7.783548599005e-42,6.320145121587e-32,4.999926581007e-25,1.050851449878e-02,3.766569177575e-19,1.609688185007e-10,1.050851465975e-02,1.045349311978e-02
0,0.2,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,7.113117640157e-50,4.052553970717e-29,1.408054970151e-41,7.017486664588e-32,7.699519570442e-25,1.335697134949e-02,6.813777011142e-19,1.787295252739e-10,1.335697152822e-02,1.326816302794e-02
0,0.3,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,1.095367853706e-49,5.151046542839e-29,2.614953798330e-41,7.791770305950e-32,1.185669442444e-24,1.697753604017e-02,1.265413102043e-18,1.984498830405e-10,1.697753623862e-02,1.683423001190e-02
0,0.4,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,1.686786013715e-49,6.547298488403e-29,5.165514194016e-41,8.651485553516e-32,1.825843825557e-24,2.157949751146e-02,2.499665326429e-18,2.203461124760e-10,2.157949773181e-02,2.134832621172e-02
0,0.5,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,2.597526526305e-49,8.322020999139e-29,1.157798244206e-40,9.606058616171e-32,2.811665339418e-24,2.742887494122e-02,5.602749343704e-18,2.446582912491e-10,2.742887518588e-02,2.705611945477e-02
0,0.6,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,4.000000000001e-49,1.057780298820e-28,3.169275145730e-40,1.066595575598e-31,4.329758038571e-24,3.486379514619e-02,1.533657036675e-17,2.716529863147e-10,3.486379541785e-02,3.426305490298e-02
0,0.7,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,6.159706104239e-49,1.344504130728e-28,1.078981369883e-39,1.184279804384e-31,6.667509255015e-24,4.431403821682e-02,5.221343349099e-17,3.016261766439e-10,4.431403851844e-02,4.334651574742e-02
0,0.8,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,9.485494822648e-49,1.708947843083e-28,4.310985262454e-39,1.314948877680e-31,1.026747436455e-23,5.632588126591e-02,2.086146698771e-16,3.349064984378e-10,5.632588160082e-02,5.476894771473e-02
0,0.9,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,1.460696509020e-48,2.172178338504e-28,1.877000000000e-38,1.460035495421e-31,1.581115612960e-23,7.159367658772e-02,9.083068289974e-16,3.718588484059e-10,7.159367695958e-02,6.909093122101e-02
0,1.0,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,2.249365300762e-48,2.760973007450e-28,8.491787415076e-38,1.621130436380e-31,2.434801873164e-23,9.099999068167e-02,4.109295950723e-15,4.128883846170e-10,9.099999109456e-02,8.698228096991e-02
0,1.1,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,3.463857293441e-48,3.509367879018e-28,3.902331980041e-37,1.800000000000e-31,3.749415990184e-23,1.156666303609e-01,1.888393599619e-14,4.584449687898e-10,1.156666308194e-01,1.092278702200e-01
0,1.2,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,5.334085728654e-48,4.460626598445e-28,1.804330028204e-36,1.998605372702e-31,5.773825140516e-23,1.470195390530e-01,8.731408025480e-14,5.090280987286e-10,1.470195395621e-01,1.367228908051e-01
0,1.3,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,8.214100105830e-48,5.669749766961e-28,8.362559900503e-36,2.219124130996e-31,8.891266490710e-23,1.868715031146e-01,4.046760929955e-13,5.651923849862e-10,1.868715036802e-01,1.704496762991e-01
0,1.4,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,1.264911064068e-47,7.206701850961e-28,3.879351717203e-35,2.463974117167e-31,1.369189711931e-22,2.375285087951e-01,1.877273125636e-12,6.275536318020e-10,2.375285094245e-01,2.114255911420e-01
0,1.5,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,1.947870100664e-47,9.160723003851e-28,1.800243495380e-34,2.735839949315e-31,2.108451556610e-22,3.019318572614e-01,8.711632715565e-12,6.967955889877e-10,3.019318579669e-01,2.606115533950e-01
0,1.6,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,2.999576837330e-47,1.164699181689e-27,8.355292903323e-34,3.037702456419e-31,3.246860480935e-22,3.838777648123e-01,4.043244327310e-11,7.736774487921e-10,3.838777656264e-01,3.187853100584e-01
0,1.7,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,4.619127938758e-47,1.482174185479e-27,3.878059442057e-33,3.372871361149e-31,4.999926581007e-22,4.885155946952e-01,1.876647775428e-10,8.590421699411e-10,4.885155957420e-01,3.864635453057e-01
0,1.8,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,7.113117640157e-47,1.893885885044e-27,1.800013692751e-32,3.745021568791e-31,7.699519570442e-22,6.242132662149e-01,8.710520668167e-10,9.538257201232e-10,6.242132680398e-01,4.643172985154e-01
0,1.9,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,1.095367853706e-46,2.463204010378e-27,8.354884250041e-32,4.158233460150e-31,1.185669442444e-21,8.118570568661e-01,4.043046574211e-09,1.059067338255e-09,8.118570619682e-01,5.559672961613e-01
0,2.0,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,1.686786013715e-46,3.445559532197e-27,3.877986772086e-31,4.617037630225e-31,1.825843825557e-21,1.135635460677e+00,1.876612609402e-08,1.175920929050e-09,1.135635480619e+00,6.787820713070e-01
0,2.1,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,2.597526526305e-46,6.149066720889e-27,1.800000770000e-30,5.126464563186e-31,2.811665339418e-21,2.026694983225e+00,8.710458133146e-08,1.305667714818e-09,2.026695071636e+00,8.682297063121e-01
0,2.2,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,4.000000000001e-46,1.776674135550e-26,8.354861269778e-30,5.692099788307e-31,4.329758038571e-21,5.855809866421e+00,4.043035453737e-07,1.449730283222e-09,5.855810272174e+00,9.971367853222e-01
0,2.3,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,6.159706104239e-46,7.854063535429e-26,3.877982685553e-29,6.320145121594e-31,6.667509255015e-21,2.588651560913e+01,1.876610631871e-06,1.609688185009e-09,2.588651748735e+01,9.999999999943e-01
0,2.4,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,9.485494822648e-46,4.145050113167e-25,1.800000043300e-28,7.017486664601e-31,1.026747436455e-20,1.366183300798e+02,8.710454616543e-06,1.787295252742e-09,1.366183387921e+02,1.000000000000e+00
0,2.5,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,1.460696509020e-45,2.296409106913e-24,8.354859977503e-28,7.791770305972e-31,1.581115612960e-20,7.568824713843e+02,4.043034828387e-05,1.984498830411e-09,7.568825118166e+02,1.000000000000e+00
0,2.6,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,2.249365300762e-45,1.286977543546e-23,3.877982455750e-27,8.651485553558e-31,2.434801873164e-20,4.241799689972e+03,1.876610520666e-04,2.203461124770e-09,4.241799877636e+03,1.000000000000e+00
0,2.7,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,3.463857293441e-45,7.231628903940e-23,1.800000002435e-26,9.606058616250e-31,3.749415990184e-20,2.383500892968e+04,8.710454418790e-04,2.446582912511e-09,2.383500980073e+04,1.000000000000e+00
0,2.8,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,5.334085728654e-45,1.287766451031e-23,8.354859904833e-26,1.066595575613e-30,5.773825140516e-20,4.244399881050e+03,4.043034793221e-03,2.716529863184e-09,4.244403924088e+03,1.000000000000e+00
0,2.9,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,8.214100105830e-45,2.312643289381e-24,3.877982442827e-25,1.184279804410e-30,8.891266490710e-20,7.622331591646e+02,1.876610514412e-02,3.016261766507e-09,7.622519252727e+02,1.000000000000e+00
0,3.0,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,1.264911064067e-44,4.400227281755e-25,1.800000000137e-24,1.314948877729e-30,1.369189711931e-19,1.450288143189e+02,8.710454407670e-02,3.349064984504e-09,1.451159188663e+02,1.000000000000e+00
0,3.1,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,1.947870100664e-44,1.148169537236e-25,8.354859900746e-24,1.460035495513e-30,2.108451556610e-19,3.784296945587e+01,4.043034791244e-01,3.718588484291e-09,3.824727293872e+01,1.000000000000e+00
0,3.2,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,2.999576837330e-44,6.689863584808e-26,3.877982442101e-23,1.621130436549e-30,3.246860480935e-19,2.204938339623e+01,1.876610514061e+00,4.128883846599e-09,2.392599391442e+01,9.999999999593e-01
0,3.3,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,4.619127938758e-44,7.097663633429e-26,1.800000000008e-22,1.800000000311e-30,4.999926581006e-19,2.339346754789e+01,8.710454407044e+00,4.584449688692e-09,3.210392195951e+01,1.000000000000e+00
0,3.4,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,7.113117640157e-44,8.771620129584e-26,3.877982442194e-23,1.998605373277e-30,7.699519570442e-19,2.891072632371e+01,1.876610514106e+00,5.090280988752e-09,3.078733684291e+01,1.000000000000e+00
0,3.5,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,1.095367853706e-43,1.110482335466e-25,8.354859902938e-24,2.219124132059e-30,1.185669442444e-18,3.660082221263e+01,4.043034792304e-01,5.651923852570e-09,3.700512569751e+01,1.000000000000e+00
0,3.6,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,1.686786013845e-43,1.410701267667e-25,1.800000004330e-24,2.463974119132e-30,1.825843825698e-18,4.649585557915e+01,8.710454427961e-02,6.275536323024e-09,4.658296012970e+01,1.000000000000e+00
0,3.7,101325.0,15.00,288.15,1000.0,425.000000,12940.900000,1.900000,0.100000,2.597554533956e-43,1.792947935345e-25,3.877982519057e-25,2.735839952946e-30,2.811695656006e-18,5.909447320524e+01,1.876610551301e-02,6.967955899124e-09,5.911323931772e+01,1.000000000000e+00
